Transaction_ID,Invoice_Date,SKU_Code,Customer_Code,Units,Gross_Sales_EUR,Discount_EUR,Rebate_EUR
INV148372,2026-09-02,SKU013,C0164,311,11988.7,813.32,123.88
INV148397,2026-09-02,SKU018,C0025,85,1306.66,69.06,11.25
INV148414,2026-09-02,SKU007,C0123,125,5644.23,312.09,66.86
INV148420,2026-09-02,SKU023,C0148,1004,26268.09,1400.77,298.08
INV148426,2026-09-02,SKU025,C0087,227,2706.54,286.62,134.92
INV148435,2026-09-02,SKU019,C0139,387,10598.37,647.15,97.72
INV148444,2026-09-02,SKU020,C0025,86,3547.11,238.01,37.47
INV148535,2026-09-02,SKU030,C0146,71,10093.74,652.48,117.95
INV148642,2026-09-02,SKU024,C0107,138,6719.48,429.02,58.77
INV148693,2026-09-02,SKU028,C0158,70,6243.26,359.52,55.13
INV148714,2026-09-02,SKU004,C0189,105,2054.24,118.12,16.88
INV148790,2026-09-02,SKU002,C0051,244,5329.05,290.01,49.46
INV148797,2026-09-02,SKU002,C0018,233,5073.62,260.3,39.19
INV148864,2026-09-02,SKU002,C0142,315,6764.81,1906.33,137.47
INV148869,2026-09-02,SKU001,C0090,175,2543.37,299.71,138.46
INV148910,2026-09-02,SKU006,C0027,680,22383.01,1249.88,199.5
INV148956,2026-09-02,SKU028,C0114,75,6792.84,377.59,61.8
INV148961,2026-09-02,SKU030,C0141,90,12968.37,803.86,115.17
INV148969,2026-09-02,SKU017,C0153,210,2015.34,272.68,78.65
INV148976,2026-09-02,SKU025,C0090,272,3239.64,354.87,176.88
INV148992,2026-09-02,SKU021,C0045,77,4515.99,593.85,240.93
INV149069,2026-09-02,SKU005,C0043,72,2485.09,629.34,57.59
INV149078,2026-09-02,SKU025,C0036,502,6045.17,1552.03,138.53
INV149093,2026-09-02,SKU018,C0184,64,1001.78,241.03,25.28
INV149099,2026-09-02,SKU004,C0031,20,388.02,48.59,24.27
INV149109,2026-09-02,SKU003,C0101,42,546.95,34.97,5.88
INV149113,2026-09-02,SKU004,C0012,21,417.9,53.42,25.57
INV149117,2026-09-02,SKU005,C0155,73,2486.94,135.7,20.84
INV149142,2026-09-02,SKU009,C0061,14,49985.12,5134.71,1897.31
INV149157,2026-09-02,SKU029,C0085,88,9823.92,591.43,78.23
INV149194,2026-09-02,SKU024,C0138,57,2776.01,305.62,131.72
INV149202,2026-09-02,SKU030,C0168,80,11438.67,2771.69,173.7
INV149205,2026-09-02,SKU024,C0014,49,2408.53,142.85,29.61
INV149230,2026-09-02,SKU023,C0173,645,17384.67,1169.52,147.27
INV149294,2026-09-02,SKU012,C0147,396,9052.01,488.76,72.0
INV149300,2026-09-02,SKU020,C0094,43,1802.02,185.64,64.47
INV149324,2026-09-02,SKU010,C0164,11,13941.58,901.16,137.28
INV149352,2026-09-02,SKU025,C0147,298,3562.73,235.37,43.76
INV149424,2026-09-02,SKU025,C0151,209,2423.1,287.84,100.47
INV149467,2026-09-02,SKU017,C0062,411,4015.18,460.46,256.14
INV149470,2026-09-02,SKU027,C0111,192,3504.44,476.06,218.18
INV149523,2026-09-02,SKU020,C0186,125,5156.1,573.74,313.15
INV149545,2026-09-02,SKU029,C0093,67,7671.15,403.51,55.54
INV149581,2026-09-02,SKU027,C0037,65,1218.87,124.92,54.51
INV149609,2026-09-02,SKU019,C0150,726,20236.31,4634.45,469.38
INV149635,2026-09-02,SKU003,C0199,72,941.23,58.88,9.32
INV149710,2026-09-02,SKU007,C0187,189,8214.02,954.77,533.67
INV149733,2026-09-02,SKU027,C0051,185,3409.84,190.63,41.5
INV149743,2026-09-02,SKU024,C0181,124,5993.59,368.26,50.49
INV148314,2026-09-03,SKU005,C0138,24,819.29,85.02,30.67
INV148317,2026-09-03,SKU012,C0066,739,16465.55,855.47,122.99
INV148345,2026-09-03,SKU026,C0096,216,3387.82,465.88,197.02
INV148373,2026-09-03,SKU010,C0103,41,51091.57,11593.22,1018.67
INV148394,2026-09-03,SKU016,C0116,418,22410.39,1436.66,190.74
INV148410,2026-09-03,SKU002,C0122,261,5670.23,305.89,48.11
INV148410,2026-09-03,SKU002,C0122,261,5670.23,305.89,48.11
INV148478,2026-09-03,SKU009,C0088,10,36533.79,4390.89,2296.69
INV148480,2026-09-03,SKU023,C0141,217,5692.52,357.09,46.81
INV148655,2026-09-03,SKU030,C0028,107,15250.17,3327.75,313.4
INV148687,2026-09-03,SKU016,C0081,80,4120.94,493.51,158.27
INV148744,2026-09-03,SKU026,C0175,310,4776.7,245.64,56.19
INV148746,2026-09-03,SKU007,C0198,533,24433.43,1647.78,229.72
INV148775,2026-09-03,SKU009,C0103,36,132649.61,37186.49,3411.24
INV148785,2026-09-03,SKU001,C0131,880,12665.27,683.75,151.37
INV148788,2026-09-03,SKU004,C0128,42,813.98,91.75,47.26
INV148805,2026-09-03,SKU011,C0143,15,63323.53,6560.32,3093.8
INV148812,2026-09-03,SKU003,C0149,193,2454.78,163.49,19.34
INV148849,2026-09-03,SKU020,C0111,180,7512.73,1009.9,399.95
INV148851,2026-09-03,SKU007,C0031,74,3383.24,393.24,217.72
INV148878,2026-09-03,SKU029,C0014,35,4037.08,229.97,36.08
INV148891,2026-09-03,SKU013,C0115,365,13896.0,855.03,139.86
INV148914,2026-09-03,SKU005,C0087,35,1209.64,156.3,67.51
INV148917,2026-09-03,SKU004,C0165,22,444.09,27.57,4.52
INV148922,2026-09-03,SKU025,C0106,116,1394.81,90.88,13.94
INV148977,2026-09-03,SKU026,C0025,137,2174.92,143.16,17.95
INV148993,2026-09-03,SKU014,C0139,256,15601.52,940.8,200.61
INV149059,2026-09-03,SKU028,C0053,72,6489.74,1403.46,118.18
INV149075,2026-09-03,SKU003,C0050,56,724.67,37.73,7.51
INV149129,2026-09-03,SKU015,C0064,336,11761.45,694.72,93.18
INV149130,2026-09-03,SKU001,C0081,84,1183.94,146.32,53.93
INV149141,2026-09-03,SKU024,C0186,40,1942.53,206.2,118.61
INV149176,2026-09-03,SKU021,C0142,109,6603.84,1865.74,147.78
INV149199,2026-09-03,SKU025,C0180,305,3605.28,428.79,157.91
INV149214,2026-09-03,SKU009,C0054,13,45359.97,6095.54,2152.8
INV149299,2026-09-03,SKU015,C0138,148,5068.78,539.87,200.02
INV149430,2026-09-03,SKU019,C0105,184,5070.51,586.72,227.25
INV149433,2026-09-03,SKU010,C0078,27,33507.55,7815.25,604.16
INV149543,2026-09-03,SKU030,C0011,49,7116.08,892.51,403.12
INV149549,2026-09-03,SKU022,C0166,454,33873.09,2281.8,343.39
INV149552,2026-09-03,SKU018,C0044,121,1889.2,250.7,93.5
INV149613,2026-09-03,SKU021,C0135,106,6265.62,680.59,291.1
INV149625,2026-09-03,SKU006,C0034,380,12170.45,797.44,153.03
INV149666,2026-09-03,SKU018,C0054,45,688.26,88.71,24.25
INV149752,2026-09-03,SKU015,C0186,129,4591.04,515.01,232.23
INV149776,2026-09-03,SKU009,C0044,18,66375.28,7683.41,2326.39
INV148262,2026-09-04,SKU013,C0179,240,9124.91,1042.91,441.39
INV148306,2026-09-04,SKU024,C0022,100,4829.92,584.65,203.45
INV148324,2026-09-04,SKU006,C0200,643,20563.15,4435.67,292.82
INV148331,2026-09-04,SKU003,C0049,56,730.38,48.31,7.04
INV148334,2026-09-04,SKU025,C0014,228,2680.3,141.68,20.24
INV148335,2026-09-04,SKU007,C0200,681,30275.82,6776.92,586.42
INV148392,2026-09-04,SKU006,C0040,242,7928.79,504.81,73.92
INV148398,2026-09-04,SKU010,C0127,5,5998.32,678.8,324.92
INV148399,2026-09-04,SKU017,C0190,117,1158.79,71.41,14.89
INV148449,2026-09-04,SKU026,C0099,294,4527.66,291.04,50.31
INV148495,2026-09-04,SKU008,C0095,21,41842.62,4751.29,1518.7
INV148521,2026-09-04,SKU024,C0029,38,1848.29,210.53,86.86
INV148542,2026-09-04,SKU004,C0139,37,694.82,47.31,8.34
INV148553,2026-09-04,SKU025,C0026,369,4343.26,242.73,52.69
INV148561,2026-09-04,SKU006,C0059,519,16609.77,900.72,173.37
INV148586,2026-09-04,SKU012,C0018,152,3413.75,199.16,26.03
INV148595,2026-09-04,SKU025,C0158,405,4688.56,290.27,38.31
INV148609,2026-09-04,SKU012,C0042,246,5483.61,301.33,60.51
INV148640,2026-09-04,SKU015,C0175,187,6336.97,391.88,77.61
INV148654,2026-09-04,SKU015,C0199,487,17088.11,980.37,213.18
INV148701,2026-09-04,SKU007,C0086,279,12849.49,2860.22,213.23
INV148726,2026-09-04,SKU022,C0073,81,6115.23,374.38,72.12
INV148734,2026-09-04,SKU022,C0015,127,9600.01,551.77,111.02
INV148741,2026-09-04,SKU012,C0141,314,7048.84,390.3,71.79
INV148773,2026-09-04,SKU010,C0142,21,26320.8,6607.19,372.98
INV148806,2026-09-04,SKU004,C0039,21,401.95,24.57,3.2
INV148817,2026-09-04,SKU023,C0029,204,5455.76,745.0,279.22
INV148881,2026-09-04,SKU017,C0056,490,4689.43,290.98,46.47
INV148885,2026-09-04,SKU020,C0149,611,24996.84,1680.8,178.73
INV148904,2026-09-04,SKU009,C0020,12,45747.81,5347.3,2603.46
INV148932,2026-09-04,SKU023,C0107,100,2659.07,168.17,21.39
INV148946,2026-09-04,SKU014,C0077,281,17130.04,1024.49,158.82
INV148955,2026-09-04,SKU001,C0184,208,2951.0,687.58,43.99
INV148974,2026-09-04,SKU026,C0087,194,3064.8,391.2,148.02
INV148981,2026-09-04,SKU007,C0065,716,32554.61,2082.37,285.03
INV149011,2026-09-04,SKU018,C0160,87,1341.64,184.11,55.18
INV149015,2026-09-04,SKU016,C0197,202,10263.3,531.55,109.93
INV149028,2026-09-04,SKU024,C0150,167,8203.22,2102.33,166.82
INV149040,2026-09-04,SKU009,C0070,11,38906.7,4604.17,1980.25
INV149098,2026-09-04,SKU029,C0027,93,10555.54,592.59,82.33
INV149121,2026-09-04,SKU025,C0099,98,1177.47,80.77,10.82
INV149169,2026-09-04,SKU026,C0098,283,4465.2,262.91,33.83
INV149207,2026-09-04,SKU015,C0049,439,15233.77,905.94,188.61
INV149221,2026-09-04,SKU026,C0091,250,3970.99,270.41,36.65
INV149235,2026-09-04,SKU015,C0089,76,2627.06,322.63,153.62
INV149270,2026-09-04,SKU004,C0014,37,719.62,40.67,8.02
INV149283,2026-09-04,SKU019,C0153,204,5673.77,729.97,256.36
INV149320,2026-09-04,SKU001,C0173,500,6940.37,475.91,76.92
INV149343,2026-09-04,SKU004,C0167,30,593.08,40.76,4.46
INV149412,2026-09-04,SKU023,C0140,102,2800.06,160.15,23.73
INV149446,2026-09-04,SKU028,C0127,40,3602.95,417.01,151.32
INV149457,2026-09-04,SKU030,C0128,61,8752.42,1019.85,551.51
INV149473,2026-09-04,SKU003,C0031,20,265.05,33.12,15.69
INV149474,2026-09-04,SKU009,C0194,8,27669.09,2881.5,1177.52
INV149486,2026-09-04,SKU004,C0036,51,988.69,267.02,15.63
INV149557,2026-09-04,SKU023,C0038,176,4713.35,635.35,296.14
INV149569,2026-09-04,SKU024,C0087,77,3787.28,501.44,216.87
INV149599,2026-09-04,SKU020,C0144,139,5842.89,599.23,233.98
INV149626,2026-09-04,SKU024,C0156,141,6922.57,398.82,75.19
INV149741,2026-09-04,SKU013,C0171,281,10942.07,1403.25,538.17
INV149748,2026-09-04,SKU005,C0045,28,973.81,116.3,46.13
INV149775,2026-09-04,SKU020,C0063,66,2722.8,168.14,29.93
INV149817,2026-09-04,SKU007,C0130,206,9272.34,614.15,111.69
INV148284,2026-09-05,SKU026,C0032,213,3259.52,218.21,27.97
INV148340,2026-09-05,SKU023,C0009,179,4817.46,281.87,52.0
INV148361,2026-09-05,SKU020,C0102,369,15104.71,961.82,152.0
INV148456,2026-09-05,SKU006,C0091,465,15371.29,793.17,127.73
INV148508,2026-09-05,SKU026,C0193,167,2558.67,344.64,164.28
INV148519,2026-09-05,SKU013,C0093,435,16819.07,950.53,125.68
INV148526,2026-09-05,SKU004,C0060,52,1009.46,271.88,15.48
INV148543,2026-09-05,SKU026,C0073,203,3228.37,208.31,23.47
INV148560,2026-09-05,SKU008,C0002,12,23852.22,2780.02,1529.38
INV148601,2026-09-05,SKU002,C0155,398,8751.0,576.93,107.42
INV148644,2026-09-05,SKU025,C0173,598,7329.77,443.86,74.51
INV148653,2026-09-05,SKU004,C0138,42,835.43,97.19,46.35
INV148669,2026-09-05,SKU008,C0142,20,39627.82,9511.4,1002.98
INV148683,2026-09-05,SKU006,C0105,117,3779.54,408.61,144.84
INV148695,2026-09-05,SKU011,C0111,8,32451.59,4287.56,1761.42
INV148718,2026-09-05,SKU026,C0058,1108,17383.97,1010.37,162.22
INV148868,2026-09-05,SKU022,C0050,191,14339.93,945.37,153.98
INV148874,2026-09-05,SKU028,C0083,96,8583.82,581.01,76.94
INV148939,2026-09-05,SKU018,C0092,157,2458.69,166.6,26.9
INV148953,2026-09-05,SKU020,C0118,457,18839.31,1969.55,954.99
INV148968,2026-09-05,SKU005,C0064,39,1376.91,90.02,17.55
INV149008,2026-09-05,SKU026,C0107,381,5962.18,411.24,44.52
INV149046,2026-09-05,SKU001,C0116,320,4501.16,304.88,47.74
INV149112,2026-09-05,SKU013,C0067,164,6178.76,317.04,60.13
INV149175,2026-09-05,SKU013,C0167,164,6320.72,338.81,57.28
INV149211,2026-09-05,SKU001,C0199,358,5045.71,303.02,52.53
INV149216,2026-09-05,SKU029,C0140,36,4156.2,232.72,43.42
INV149228,2026-09-05,SKU028,C0014,37,3296.78,190.75,41.19
INV149256,2026-09-05,SKU024,C0173,218,10756.81,685.39,84.97
INV149268,2026-09-05,SKU005,C0010,62,2180.81,228.42,81.2
INV149281,2026-09-05,SKU004,C0124,34,674.87,40.41,5.31
INV149350,2026-09-05,SKU026,C0070,117,1808.05,198.51,70.11
INV149351,2026-09-05,SKU018,C0081,52,800.66,85.33,34.31
INV149436,2026-09-05,SKU021,C0115,64,3780.17,258.69,31.31
INV149441,2026-09-05,SKU021,C0093,144,8461.89,574.14,60.46
INV149443,2026-09-05,SKU017,C0166,751,7397.02,500.67,87.0
INV149452,2026-09-05,SKU030,C0078,91,12698.94,2751.76,287.61
INV149541,2026-09-05,SKU010,C0143,14,17292.1,2150.88,881.48
INV149568,2026-09-05,SKU030,C0136,16,2192.89,232.74,106.43
INV149584,2026-09-05,SKU017,C0143,341,3350.42,408.43,163.94
INV149587,2026-09-05,SKU021,C0014,54,3232.18,172.22,23.61
INV149620,2026-09-05,SKU023,C0096,154,4105.56,503.11,182.54
INV149701,2026-09-05,SKU030,C0085,72,10131.44,564.11,100.97
INV149829,2026-09-05,SKU022,C0196,240,17823.47,1175.71,175.87
INV148304,2026-09-06,SKU001,C0142,339,4759.75,1302.77,81.51
INV148327,2026-09-06,SKU023,C0030,146,3910.56,432.34,244.36
INV148353,2026-09-06,SKU005,C0182,60,2010.28,124.33,23.36
INV148377,2026-09-06,SKU020,C0006,260,10414.95,689.55,79.68
INV148465,2026-09-06,SKU007,C0192,402,18141.49,4922.52,319.71
INV148531,2026-09-06,SKU017,C0058,508,5063.76,330.72,44.26
INV148539,2026-09-06,SKU025,C0034,267,3246.14,170.63,37.37
INV148568,2026-09-06,SKU013,C0139,316,12224.13,672.62,133.98
INV148580,2026-09-06,SKU002,C0163,274,6087.39,327.59,64.39
INV148582,2026-09-06,SKU001,C0181,395,5665.67,333.89,68.39
INV148612,2026-09-06,SKU024,C0133,119,5796.37,371.1,52.13
INV148670,2026-09-06,SKU016,C0120,93,4836.83,555.59,272.65
INV148700,2026-09-06,SKU028,C0167,23,2069.13,123.68,14.56
INV148708,2026-09-06,SKU001,C0185,67,950.77,112.83,38.53
INV148748,2026-09-06,SKU002,C0065,877,19087.24,1192.3,185.37
INV148774,2026-09-06,SKU015,C0115,341,11697.83,649.26,113.57
INV148779,2026-09-06,SKU023,C0098,188,5110.39,295.92,57.51
INV148801,2026-09-06,SKU021,C0116,112,6724.01,382.36,49.01
INV148825,2026-09-06,SKU011,C0022,17,68024.12,9000.61,3718.11
INV148844,2026-09-06,SKU015,C0188,226,8039.79,542.17,69.52
INV148873,2026-09-06,SKU026,C0148,984,15361.45,943.58,166.72
INV148903,2026-09-06,SKU004,C0049,55,1053.98,72.11,12.22
INV148911,2026-09-06,SKU029,C0079,134,15091.54,1660.9,708.28
INV148933,2026-09-06,SKU005,C0097,19,638.05,70.14,35.75
INV148945,2026-09-06,SKU019,C0081,145,3889.72,454.81,244.37
INV148995,2026-09-06,SKU026,C0180,442,6838.06,889.71,307.34
INV149006,2026-09-06,SKU029,C0053,90,10329.95,2823.84,166.28
INV149018,2026-09-06,SKU006,C0079,624,20287.61,2455.55,790.82
INV149034,2026-09-06,SKU026,C0198,957,14961.53,948.56,176.26
INV149068,2026-09-06,SKU021,C0002,91,5444.93,594.07,232.53
INV149071,2026-09-06,SKU029,C0166,283,32157.24,1816.03,280.8
INV149092,2026-09-06,SKU002,C0054,57,1273.23,162.86,59.9
INV149147,2026-09-06,SKU001,C0025,86,1233.37,82.68,9.7
INV149171,2026-09-06,SKU007,C0056,685,31052.14,1762.69,341.82
INV149178,2026-09-06,SKU007,C0082,554,24750.65,2704.64,1167.04
INV149200,2026-09-06,SKU011,C0193,13,54652.06,5684.46,2454.29
INV149206,2026-09-06,SKU030,C0110,19,2569.69,300.12,134.49
INV149210,2026-09-06,SKU025,C0057,439,5133.19,276.49,55.95
INV149234,2026-09-06,SKU024,C0188,54,2608.52,175.74,23.18
INV149241,2026-09-06,SKU011,C0095,31,127199.9,17481.07,6068.02
INV149259,2026-09-06,SKU028,C0150,183,16082.76,4110.98,245.58
INV149319,2026-09-06,SKU021,C0055,57,3427.4,367.46,132.51
INV149354,2026-09-06,SKU027,C0100,129,2393.05,145.31,23.65
INV149421,2026-09-06,SKU018,C0040,56,869.37,57.28,9.23
INV149444,2026-09-06,SKU003,C0136,22,276.31,36.65,10.38
INV149469,2026-09-06,SKU019,C0064,290,7936.16,410.69,55.98
INV149508,2026-09-06,SKU006,C0191,663,21796.14,1290.51,249.03
INV149510,2026-09-06,SKU010,C0192,35,43377.45,12249.19,643.57
INV149515,2026-09-06,SKU005,C0054,24,832.58,103.61,33.29
INV149555,2026-09-06,SKU030,C0122,79,11163.34,613.04,127.66
INV149611,2026-09-06,SKU004,C0056,135,2713.08,150.91,32.1
INV149734,2026-09-06,SKU027,C0003,86,1596.51,165.6,98.21
INV149749,2026-09-06,SKU030,C0079,130,18321.04,2377.04,710.11
INV149750,2026-09-06,SKU002,C0022,106,2318.61,264.89,133.63
INV149763,2026-09-06,SKU023,C0165,146,3934.14,270.03,42.51
INV149788,2026-09-06,SKU025,C0128,277,3353.77,385.42,201.56
INV149795,2026-09-06,SKU005,C0030,27,904.9,106.81,36.84
INV149800,2026-09-06,SKU025,C0015,290,3385.44,172.76,29.75
INV149828,2026-09-06,SKU022,C0118,265,19981.01,2395.11,940.38
INV148337,2026-09-07,SKU008,C0094,3,6662.61,690.08,253.07
INV148356,2026-09-07,SKU005,C0002,55,1919.82,202.89,113.99
INV148369,2026-09-07,SKU013,C0040,260,10375.23,619.83,93.53
INV148374,2026-09-07,SKU002,C0102,214,4665.99,306.07,52.18
INV148386,2026-09-07,SKU012,C0144,336,7379.89,792.55,421.98
INV148457,2026-09-07,SKU007,C0142,450,20275.94,4757.49,495.65
INV148467,2026-09-07,SKU025,C0193,120,1409.89,175.13,51.96
INV148502,2026-09-07,SKU027,C0015,157,2881.75,164.53,32.28
INV148515,2026-09-07,SKU030,C0140,39,5594.03,291.41,40.8
INV148564,2026-09-07,SKU002,C0126,263,5646.21,1220.56,95.98
INV148576,2026-09-07,SKU016,C0115,226,11725.01,654.82,119.91
INV148608,2026-09-07,SKU014,C0024,199,12099.13,644.26,154.5
INV148626,2026-09-07,SKU013,C0024,239,9217.68,471.43,75.74
INV148629,2026-09-07,SKU016,C0045,135,7183.01,925.47,413.29
INV148666,2026-09-07,SKU023,C0005,366,9606.73,581.26,123.87
INV148735,2026-09-07,SKU024,C0034,152,7342.27,436.89,76.11
INV148764,2026-09-07,SKU029,C0165,54,5968.21,399.11,56.41
INV148766,2026-09-07,SKU014,C0089,135,8071.59,861.72,308.03
INV148769,2026-09-07,SKU019,C0070,144,3969.92,464.34,225.78
INV148787,2026-09-07,SKU030,C0052,59,8644.01,517.76,70.49
INV148816,2026-09-07,SKU004,C0177,10,196.2,22.51,10.02
INV148876,2026-09-07,SKU028,C0035,124,11016.9,702.75,93.67
INV148937,2026-09-07,SKU027,C0108,297,5449.91,287.41,47.39
INV148971,2026-09-07,SKU002,C0026,106,2288.34,135.71,20.53
INV148972,2026-09-07,SKU012,C0191,446,9789.16,545.17,91.32
INV149019,2026-09-07,SKU022,C0154,162,12343.41,1495.63,501.68
INV149030,2026-09-07,SKU016,C0030,103,5273.22,646.75,186.48
INV149043,2026-09-07,SKU023,C0099,86,2362.19,140.2,22.75
INV149050,2026-09-07,SKU025,C0197,204,2482.53,131.24,26.13
INV149091,2026-09-07,SKU011,C0177,6,25828.16,3303.31,1400.4
INV149110,2026-09-07,SKU002,C0200,493,10634.34,2947.67,273.64
INV149127,2026-09-07,SKU019,C0107,297,8306.46,534.71,100.95
INV149149,2026-09-07,SKU025,C0138,138,1677.31,217.0,102.04
INV149162,2026-09-07,SKU013,C0122,348,13227.11,747.33,150.53
INV149168,2026-09-07,SKU017,C0147,369,3623.6,233.88,28.61
INV149173,2026-09-07,SKU003,C0128,55,716.14,90.88,39.81
INV149177,2026-09-07,SKU024,C0006,123,6042.46,402.94,67.22
INV149185,2026-09-07,SKU019,C0108,292,8215.44,550.04,104.56
INV149203,2026-09-07,SKU024,C0054,30,1449.5,194.02,79.94
INV149204,2026-09-07,SKU003,C0094,14,188.41,23.84,10.5
INV149248,2026-09-07,SKU014,C0116,219,13487.05,768.76,141.7
INV149308,2026-09-07,SKU027,C0133,641,11983.7,690.82,151.23
INV149332,2026-09-07,SKU003,C0029,61,799.37,107.91,34.95
INV149333,2026-09-07,SKU015,C0091,348,12379.49,740.32,93.3
INV149381,2026-09-07,SKU022,C0149,522,39934.39,2088.12,285.05
INV149420,2026-09-07,SKU008,C0184,19,37930.76,9796.37,912.28
INV149423,2026-09-07,SKU007,C0089,101,4530.66,481.92,184.02
INV149434,2026-09-07,SKU018,C0185,54,816.79,106.2,42.57
INV149445,2026-09-07,SKU020,C0114,151,6140.76,418.46,66.13
INV149468,2026-09-07,SKU001,C0145,192,2728.52,169.2,28.85
INV149481,2026-09-07,SKU001,C0083,246,3493.42,231.63,44.4
INV149485,2026-09-07,SKU028,C0128,115,10178.85,1288.48,482.74
INV149507,2026-09-07,SKU003,C0011,59,766.2,82.34,26.97
INV149519,2026-09-07,SKU007,C0181,349,15455.37,878.81,161.15
INV149533,2026-09-07,SKU013,C0056,276,10642.96,621.38,93.5
INV149631,2026-09-07,SKU008,C0152,6,11562.63,1380.69,543.7
INV149639,2026-09-07,SKU014,C0010,288,17416.18,2260.41,895.37
INV149643,2026-09-07,SKU003,C0100,38,511.29,33.65,4.51
INV149658,2026-09-07,SKU014,C0171,302,18528.75,2307.2,1020.83
INV149812,2026-09-07,SKU017,C0163,313,3031.52,181.67,25.93
INV148299,2026-09-08,SKU011,C0120,8,35059.15,4780.91,2238.13
INV148359,2026-09-08,SKU015,C0190,75,2624.87,149.12,19.45
INV148360,2026-09-08,SKU006,C0175,595,19078.3,1022.54,189.11
INV148380,2026-09-08,SKU027,C0066,717,12995.8,790.47,120.24
INV148384,2026-09-08,SKU017,C0017,522,5039.3,264.84,54.93
INV148388,2026-09-08,SKU026,C0186,273,4191.64,525.25,231.46
INV148400,2026-09-08,SKU003,C0154,54,711.97,75.22,30.59
INV148424,2026-09-08,SKU021,C0021,76,4600.51,488.81,246.72
